
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
XC7A100T-2FGG484C                U1                                15  10     12  12  10 C3         91 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     13  13  10 C6         94 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     14  14  10 C10        98 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     15  15  10 C12       100 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     16  16  10 C16       104 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     17  17  10 D3        113 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     18  18  10 D4        114 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     19  19  10 D8        118 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     20  20  10 D12       122 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     21  21  10 D13       123 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     22  22  10 E4        136 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     23  23  10 E5        137 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     24  24  10 E7        139 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     25  25  10 E9        141 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     26  26  10 E11       143 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     27  27  10 E20       152 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     28  28  10 F5        159 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     29  29  10 F11       165 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     30  30  10 F17       171 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     31  31  10 G5        181 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     32  32  10 G6        182 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     33  33  10 G7        183 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     34  34  10 G8        184 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     35  35  10 G9        185 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     36  36  10 G10       186 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     37  37  10 G12       188 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     38  38  10 G14       190 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     39  39  10 H1        199 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     40  40  10 H7        205 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     41  41  10 H9        207 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     42  42  10 H11       209 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     43  43  10 H21       219 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     44  44  10 J8        228 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     45  45  10 J10       230 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     46  46  10 J12       232 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     47  47  10 J18       238 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     48  48  10 K5        247 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     49  49  10 K7        249 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     50  50  10 K11       253 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     51  51  10 K15       257 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     52  52  10 L2        266 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     53  53  10 L8        272 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     54  54  10 L22       286 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     55  55  10 M7        293 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     56  56  10 M11       297 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     57  57  10 M19       305 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     58  58  10 N6        314 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     59  59  10 N8        316 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     60  60  10 N16       324 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     61  61  10 P3        333 0 GND                 (2-3-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
XC7A100T-2FGG484C                U1                                15  10     62  62  10 P7        337 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     63  63  10 P9        339 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     64  64  10 P11       341 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     65  65  10 P13       343 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     66  66  10 R8        360 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     67  67  10 R10       362 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     68  68  10 R12       364 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     69  69  10 R20       372 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     70  70  10 T7        381 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     71  71  10 T9        383 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     72  72  10 T11       385 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     73  73  10 T17       391 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     74  74  10 U4        400 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     75  75  10 U14       410 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     76  76  10 V1        419 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     77  77  10 V11       429 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     78  78  10 V21       439 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     79  79  10 W8        448 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     80  80  10 W18       458 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     81  81  10 Y5        467 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     82  82  10 Y15       477 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     83  83  10 AA2         2 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     84  84  10 AA12       12 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     85  85  10 AA22       22 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     86  86  10 AB9        31 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                15  10     87  87  10 AB19       41 0 GND                 (2-3-13)
XFL4012-251ME                    L4                               163   1      1   1   1 1           1 0 $8N1782             (386-1-13)
XFL4012-251ME                    L4                               163   1      2   2   1 2           2 0 1V0                 (188-25-13)
2x1 Header                       J2                               168   1      1   1   1 1           1 0 3V3_MB_FILT         (874-3-13)
2x1 Header                       J2                               168   1      2   2   1 2           2 0 $8N1903             (474-2-13)
511BBA74M2500BAG                 X1                               169   1      1   1   1 1           1 0                     (0-0-0)
511BBA74M2500BAG                 X1                               169   1      2   2   1 2           2 0                     (0-0-0)
511BBA74M2500BAG                 X1                               169   1      3   3   1 5           5 0 74M25_P             (357-2-13)
511BBA74M2500BAG                 X1                               169   1      4   4   1 4           4 0 74M25_N             (357-1-13)
511BBA74M2500BAG                 X1                               169   2      1   1   2 6           6 0 3V3_VCCO            (376-4-13)
511BBA74M2500BAG                 X1                               169   3      1   1   3 3           3 0 GND                 (2-3-13)
